title,description,severity
about:config filter not applied after Firefox restarts.,about:config filter not applied after Firefox restarts.,Low
nsUrlClassifierDBService::EnsureThreadStarted() doesn't exist anymore,nsUrlClassifierDBService::EnsureThreadStarted() doesn't exist anymore,Low
"The checkbox in the Tools>Options menu, under the Privacy tab, the ""Keep my History for at least X days"" will not save any changes, and remains unchecked.","The checkbox in the Tools>Options menu, under the Privacy tab, the ""Keep my History for at least X days"" will not save any changes, and remains unchecked.",Medium
Application Details empty after fixing empty Applications panel (after bug #409192),Application Details empty after fixing empty Applications panel (after bug #409192),Medium
Feed URLs needs tooltip in Page Info,Feed URLs needs tooltip in Page Info,Medium
"Return of Son of unix/packages-static Cleanup, Part Deux","Return of Son of unix/packages-static Cleanup, Part Deux",Medium
Add te to the Firefox build,Add te to the Firefox build,Medium
Track Firefox localization work load between releases towards 3.0,Track Firefox localization work load between releases towards 3.0,Medium
"keyboard shortcut for ""go to previously selected tab""","keyboard shortcut for ""go to previously selected tab""",Medium
Probable bug from JavaScript remote support,Probable bug from JavaScript remote support,Medium
Globally decay adaptive input history to allow for new entries,Globally decay adaptive input history to allow for new entries,Medium
Firefox integration with Miro,Firefox integration with Miro,Medium
Style new bookmark contextual dialog on XP,Style new bookmark contextual dialog on XP,Medium
Need a list of icons that actually have a disabled state,Need a list of icons that actually have a disabled state,Medium
Theme Library Window on Vista,Theme Library Window on Vista,Medium
Back/forward buttons disappear when moving from 1.8 to 1.9 if they've been moved,Back/forward buttons disappear when moving from 1.8 to 1.9 if they've been moved,Low
Extreme flickering when loading pages,Extreme flickering when loading pages,High
BookmarksMenu items from distribution.ini do not get added to Bookmarks Menu,BookmarksMenu items from distribution.ini do not get added to Bookmarks Menu,High
GTK dropdown button arrows not centred,GTK dropdown button arrows not centred,Low
"add grouping to the url bar autocomplete results for locations, bookmarks, tags","add grouping to the url bar autocomplete results for locations, bookmarks, tags",Medium
Need a pref to disable the new ctrl+tab preview panel,Need a pref to disable the new ctrl+tab preview panel,Medium
Random failure on Linux mozilla-central qm-centos5-03 / browser_bug410900.js,Random failure on Linux mozilla-central qm-centos5-03 / browser_bug410900.js,Medium
Win32installer.exe/Nightly Build,Win32installer.exe/Nightly Build,Low
excessive IO on urlclassifier3.sqlite,excessive IO on urlclassifier3.sqlite,Medium
Firefox 3.0.x language packs should be compatible with Firefox 3.0 - 3.0.*,Firefox 3.0.x language packs should be compatible with Firefox 3.0 - 3.0.*,Medium
sporadic test failure on bm-win2k3-pgo01,sporadic test failure on bm-win2k3-pgo01,Medium
Allow AwesomeBar to default search only urls (or history/titles/bookmarks/tags),Allow AwesomeBar to default search only urls (or history/titles/bookmarks/tags),Medium
"Bookmarks ""Sort by Name"" is extremely slow with Places","Bookmarks ""Sort by Name"" is extremely slow with Places",Medium
Add Shiretoko branding to mozilla-central,Add Shiretoko branding to mozilla-central,Medium
Add mr to the Firefox build,Add mr to the Firefox build,Medium
Slowdown on AutoComplete - AwesomeBar,Slowdown on AutoComplete - AwesomeBar,High
Use white drop down arrows in the aero library window,Use white drop down arrows in the aero library window,Medium
Firefox 3.0 repeats table characteristics of first tables are repeated in subsequent tables.,Firefox 3.0 repeats table characteristics of first tables are repeated in subsequent tables.,High
Maximized Browser Reopens Windowed Instead Of Maximized,Maximized Browser Reopens Windowed Instead Of Maximized,Medium
"Firefox honors embedded ICC intent flag, and probably shouldn't","Firefox honors embedded ICC intent flag, and probably shouldn't",Medium
"Main->Downloads->""Save to"" file field misses accessible label","Main->Downloads->""Save to"" file field misses accessible label",Low
Organizer: Cannot open a query by double clicking on it or pressing enter while it's selected in the right pane,Organizer: Cannot open a query by double clicking on it or pressing enter while it's selected in the right pane,Medium
Correcting an entry in location bar doesn't update results,Correcting an entry in location bar doesn't update results,Medium
login to internet banking does not open link,login to internet banking does not open link,Medium
HKCU protocol / file handlers won't be updated after update or during an in place upgrade,HKCU protocol / file handlers won't be updated after update or during an in place upgrade,Medium
The right border of the previewBox should not be themed in content/XUL,The right border of the previewBox should not be themed in content/XUL,Medium
"""Search Foo for selected text"" context menu hitchhikes an accesskey","""Search Foo for selected text"" context menu hitchhikes an accesskey",Medium
"Firefox's connection settings box duplicates ""H"" accesskey","Firefox's connection settings box duplicates ""H"" accesskey",Medium
Re-enable OJI for Firefox 3.1,Re-enable OJI for Firefox 3.1,Medium
Double-click on the Star icon leads to incorrect display of the bookmark properties panel,Double-click on the Star icon leads to incorrect display of the bookmark properties panel,Medium
Displaying of PDF with OBJECT element doesn't really work,Displaying of PDF with OBJECT element doesn't really work,Medium
Use smart getters in browser.js,Use smart getters in browser.js,Medium
Can't change language from English to Hebrew on all websites,Can't change language from English to Hebrew on all websites,Medium
Strange ordering of history entries,Strange ordering of history entries,Medium
"gBrowser, gURLBar etc. stuck at null when accessed before the associated elements are in the document","gBrowser, gURLBar etc. stuck at null when accessed before the associated elements are in the document",Medium
"""setting a property that has only a getter"" when adding the location bar to the chrome after starting the browser without it","""setting a property that has only a getter"" when adding the location bar to the chrome after starting the browser without it",Medium
Searching on Tags doesn't give back any results,Searching on Tags doesn't give back any results,Medium
can't change urlbar font size,can't change urlbar font size,Medium
Move triggers into migration code,Move triggers into migration code,Medium
[refactor] move places table creation statements to one file,[refactor] move places table creation statements to one file,Medium
bookmark dialog covers candidate window when using IME,bookmark dialog covers candidate window when using IME,Medium
Default browser check doesn't return false if the registry key doesn't exist,Default browser check doesn't return false if the registry key doesn't exist,Medium
"build fails on FreeBSD Alpha, missing xptcinvoke_freebsd_alpha.cpp, xptcstubs_freebsd_alpha.cpp","build fails on FreeBSD Alpha, missing xptcinvoke_freebsd_alpha.cpp, xptcstubs_freebsd_alpha.cpp",Critical
"Location bar autocomplete favors ""http://"" over domain name starting with ""h""","Location bar autocomplete favors ""http://"" over domain name starting with ""h""",Medium
Places should be protocol unaware http/https,Places should be protocol unaware http/https,Medium
to encode or not to encode?,to encode or not to encode?,Medium
Session restore clobbers my window position on restore,Session restore clobbers my window position on restore,Medium
Don't allow paste of items into a feed list,Don't allow paste of items into a feed list,Medium
Live bookmarks load way too agressive (lock up browser),Live bookmarks load way too agressive (lock up browser),High
Bookmarks-> Organize Bookmarks freezes the Browser - The Return,Bookmarks-> Organize Bookmarks freezes the Browser - The Return,Medium
"make clear button in Applications prefpane be ""x"" button inside search field","make clear button in Applications prefpane be ""x"" button inside search field",Medium
bootstrap all-locales for landed mercurial repos,bootstrap all-locales for landed mercurial repos,Medium
Crash with jaws,Crash with jaws,Critical
Clearing browsing history does not fully clear info for pages viewed through RSS feeds.,Clearing browsing history does not fully clear info for pages viewed through RSS feeds.,Medium
UI cleanup for search field in get add-ons,UI cleanup for search field in get add-ons,Medium
Horizontal touchpad scroll buttons to issue page forward/back commands,Horizontal touchpad scroll buttons to issue page forward/back commands,Medium
Page Style functions cleanup,Page Style functions cleanup,Low
Tooltips appear without text,Tooltips appear without text,Medium
Romanian Dictionary not compatible for Firefox 2.0,Romanian Dictionary not compatible for Firefox 2.0,Medium
CTRL-TAB should not persist right-click menu on webpage when switching URLs,CTRL-TAB should not persist right-click menu on webpage when switching URLs,Medium
CTRL+Tab moves to location bar if only 1 tab is open.,CTRL+Tab moves to location bar if only 1 tab is open.,Medium
"nsISessionStore documentation: clarify the meaning of ""window""","nsISessionStore documentation: clarify the meaning of ""window""",Medium
Wrong favicon appears in the bookmarks list,Wrong favicon appears in the bookmarks list,Medium
Location bar doesn't decodes spaces when using UNIX copy/paste(selecting),Location bar doesn't decodes spaces when using UNIX copy/paste(selecting),Medium
Cooliris Previews addon not available/working for Firefox 3,Cooliris Previews addon not available/working for Firefox 3,Medium
Crash: Failed to launch latest thunderbird on OpenSolaris,Crash: Failed to launch latest thunderbird on OpenSolaris,Medium
right clicking on Get more search engines in search manager acts as a left click,right clicking on Get more search engines in search manager acts as a left click,Medium
Search Engine Manager refuses to change keywords,Search Engine Manager refuses to change keywords,Medium
Add a new header include into extensions/auth/nsAuthSSPI.h,Add a new header include into extensions/auth/nsAuthSSPI.h,Medium
Unify position of magnifying icon in search boxes,Unify position of magnifying icon in search boxes,Medium
work harder to recover from url-classifier db corruption,work harder to recover from url-classifier db corruption,Medium
Cursor Disappears during text being typed in text boxes,Cursor Disappears during text being typed in text boxes,Medium
Add Gmail Mailto protocol handler to Firefox 3.0.x,Add Gmail Mailto protocol handler to Firefox 3.0.x,Medium
"on local page external links, external images, videoclips, javascript don't work","on local page external links, external images, videoclips, javascript don't work",Medium
localized URL prefs in distribution.ini not being interpreted properly,localized URL prefs in distribution.ini not being interpreted properly,Medium
remove leftovers from DOMi removal from installer.nsi,remove leftovers from DOMi removal from installer.nsi,Medium
Use the new search textbox binding in the Places organizer,Use the new search textbox binding in the Places organizer,Medium
open menus detach if windows dragged,open menus detach if windows dragged,Medium
Only package oji.xpt if it's likely to be there,Only package oji.xpt if it's likely to be there,Medium
"In <test_384370.js>, ""Exception / NS_ERROR_FILE_ACCESS_DENIED / nsIFile.remove / head_bookmarks.js / cleanUp"", with debug build","In <test_384370.js>, ""Exception / NS_ERROR_FILE_ACCESS_DENIED / nsIFile.remove / head_bookmarks.js / cleanUp"", with debug build",Medium
long EV cert owner string obscures URL in location bar,long EV cert owner string obscures URL in location bar,Medium
"In </browser/*>, ""use a xul <stringbundle/> instead of including the strres.js code""","In </browser/*>, ""use a xul <stringbundle/> instead of including the strres.js code""",Low
gmail (v2) gets stuck loading with session store enabled,gmail (v2) gets stuck loading with session store enabled,Medium
nsGNOMEShellService::GetDesktopBackgroundColor should support GConf's actual format,nsGNOMEShellService::GetDesktopBackgroundColor should support GConf's actual format,Medium
consistently use JSON objects instead of our own quirky string serialization,consistently use JSON objects instead of our own quirky string serialization,Medium
-safe-mode kills stored session,-safe-mode kills stored session,Medium
"1 bug, many warning fixes in nsSeaMonkeyMigrator.cpp","1 bug, many warning fixes in nsSeaMonkeyMigrator.cpp",Medium
Text zoom cancels when mousing over 'snapshot' links,Text zoom cancels when mousing over 'snapshot' links,High
fix a (probably harmless) mistake in nsUrlClassifierDBServiceWorker::IsCanonicalizedIP(),fix a (probably harmless) mistake in nsUrlClassifierDBServiceWorker::IsCanonicalizedIP(),Low
"""Report Web Forgery"" menu item doesn't change for the error page.","""Report Web Forgery"" menu item doesn't change for the error page.",Medium
Add Aero Glass to Ctrl-Tab,Add Aero Glass to Ctrl-Tab,Medium
remove the browser.sessionstore.enabled pref,remove the browser.sessionstore.enabled pref,Medium
cycling tabs using new Ctrl+Tab panel does not keep location bar focus,cycling tabs using new Ctrl+Tab panel does not keep location bar focus,Medium
Need to clean up URLs before adding them to a crash report,Need to clean up URLs before adding them to a crash report,Medium
[SessionStore] First Closed tab is not saved if session with blank tabs is restored.  Also about:blank shows up in back arrow history.,[SessionStore] First Closed tab is not saved if session with blank tabs is restored.  Also about:blank shows up in back arrow history.,Medium
Linux 64 bits : firefox nightlies keep on segfaulting since tinderbox build 1219214029,Linux 64 bits : firefox nightlies keep on segfaulting since tinderbox build 1219214029,Critical
"Problem with external password keeper hotkey, shortcut, with FF3, keyboard, tabs, keyboard stuffing (auto-type)","Problem with external password keeper hotkey, shortcut, with FF3, keyboard, tabs, keyboard stuffing (auto-type)",Medium
Allow matching at beginning of title/url by pref,Allow matching at beginning of title/url by pref,Medium
Turn off new visual Ctrl+tab switching when screen reader present,Turn off new visual Ctrl+tab switching when screen reader present,Medium
update shipped-locales for new Beta locales for fx 3.0.2,update shipped-locales for new Beta locales for fx 3.0.2,Medium
"In <tabbrowser.xml>, ""Warning: assignment to undeclared variable tab""","In <tabbrowser.xml>, ""Warning: assignment to undeclared variable tab""",Low
Custom bookmarks are duplicated when upgrading a Firefox 2 distro to Firefox 3,Custom bookmarks are duplicated when upgrading a Firefox 2 distro to Firefox 3,Medium
distribution.ini file should support livemarks,distribution.ini file should support livemarks,Medium
convert our two chrome tests to browser tests,convert our two chrome tests to browser tests,Medium
Report Web Forgery Dialog Not Updated for Firefox 3,Report Web Forgery Dialog Not Updated for Firefox 3,Low
Droping a file over the Bookmarks toolbar button throws an error,Droping a file over the Bookmarks toolbar button throws an error,Medium
Use a background thread for places work when possible,Use a background thread for places work when possible,Medium
Previews in ctrl-tab panel are not updated consistently (empty or outdated image),Previews in ctrl-tab panel are not updated consistently (empty or outdated image),Medium
"""TabClose"" event shoud be allow to close related tabs by its listeners","""TabClose"" event shoud be allow to close related tabs by its listeners",Medium
font size reverts back to default after a brief time (2-5 minutes) without a command to do so.,font size reverts back to default after a brief time (2-5 minutes) without a command to do so.,Medium
Figure out the best moment to display the Session Restore prompt,Figure out the best moment to display the Session Restore prompt,Medium
Add Tamil and Esperanto to the fx 3.0.x builds,Add Tamil and Esperanto to the fx 3.0.x builds,Medium
Link modifiers should use the command attribute instead of oncommand(and remove observes elements),Link modifiers should use the command attribute instead of oncommand(and remove observes elements),Medium
"""aNode is null"" error hovering history sidebar","""aNode is null"" error hovering history sidebar",Medium
Tab bar left scrolling arrow icon does not change when cursor is hover it,Tab bar left scrolling arrow icon does not change when cursor is hover it,Low
ctrl-9 to select last tab is klugishly implemented,ctrl-9 to select last tab is klugishly implemented,Medium
remove IdentityHandler and getIdentityHandler() in favor of gIdentityHandler,remove IdentityHandler and getIdentityHandler() in favor of gIdentityHandler,Medium
GIF favicons are not resampled in places.sqlite (large icons are stored),GIF favicons are not resampled in places.sqlite (large icons are stored),Medium
gBrowser.browsers shouldn't try to look like a node list,gBrowser.browsers shouldn't try to look like a node list,Medium
Ctrl-1 no longer focus first tab,Ctrl-1 no longer focus first tab,Medium
"The ""SVG in Firefox"" status page is incorrect","The ""SVG in Firefox"" status page is incorrect",Medium
remove gIsLoadingBlank from browser.js,remove gIsLoadingBlank from browser.js,Low
drag and drop is wrong in the bookmarks menu,drag and drop is wrong in the bookmarks menu,High
regression: Undo folder deletion mix up views,regression: Undo folder deletion mix up views,High
Cookie not sent through web sites with country top level domains,Cookie not sent through web sites with country top level domains,Medium
minor whereToOpenLink code simplification,minor whereToOpenLink code simplification,Medium
Crash in [@ nsPrefBranch::SetComplexValue] passing RSS feed URL to Newsgator,Crash in [@ nsPrefBranch::SetComplexValue] passing RSS feed URL to Newsgator,Critical
Hookup geolocation prompt to FF's notification prompt.,Hookup geolocation prompt to FF's notification prompt.,Medium
Dynamic Bookmarks don't show entries with empty titles,Dynamic Bookmarks don't show entries with empty titles,Medium
Growl integration leaks,Growl integration leaks,Medium
Sessionstore should ignore popup windows,Sessionstore should ignore popup windows,Medium
Firefox restart looses URLs,Firefox restart looses URLs,Medium
Form input field data not retained on session restore,Form input field data not retained on session restore,Medium
don't reset browser.sessionstore.resume_session_once until the first browser window opened,don't reset browser.sessionstore.resume_session_once until the first browser window opened,Medium
Text in TextArea and Input elements should be saved on page load to prevent data loss,Text in TextArea and Input elements should be saved on page load to prevent data loss,Medium
Places building in embedding-minimal profile failed,Places building in embedding-minimal profile failed,Medium
Feed sniffing too permissive,Feed sniffing too permissive,Medium
Incorrect focus events for multi-tab launch,Incorrect focus events for multi-tab launch,High
wrong scroll behaviour after loading new page while session restoring,wrong scroll behaviour after loading new page while session restoring,Medium
wrong folder icon appears [Recently Bookmarked/Recent Tags],wrong folder icon appears [Recently Bookmarked/Recent Tags],Medium
Match IE7 and HTML5 by removing sniffing for title='rss' in feed autodiscovery,Match IE7 and HTML5 by removing sniffing for title='rss' in feed autodiscovery,Medium
isValidFeed modifies its first parameter,isValidFeed modifies its first parameter,Low
remove unneeded global variables,remove unneeded global variables,Low
"""test_417228-other-roots.js:89: strict warning: assignment to undeclared variable excludedFolderId""","""test_417228-other-roots.js:89: strict warning: assignment to undeclared variable excludedFolderId""",Low
use the new searchbox in the cookie viewer,use the new searchbox in the cookie viewer,Medium
Choose better accesskeys for about:config,Choose better accesskeys for about:config,Low
XULBrowserWindow cleanup,XULBrowserWindow cleanup,Medium
Holding ALT key while clicking Home or Back buttons brings up Save As... dialog,Holding ALT key while clicking Home or Back buttons brings up Save As... dialog,Low
Input box has cursor and character display errors when displaying non-printable character using Javascript.,Input box has cursor and character display errors when displaying non-printable character using Javascript.,Medium
Cookies do not set after i come back to the same website with FireFox 3.0.1,Cookies do not set after i come back to the same website with FireFox 3.0.1,Medium
firefox' about dialog uses wrong button (ok instead of close),firefox' about dialog uses wrong button (ok instead of close),Low
Changing RSS Subscription Location cause: Error: this.getResult() is null,Changing RSS Subscription Location cause: Error: this.getResult() is null,Medium
Remove |APP_XPCOM_LIBS| from /browser/,Remove |APP_XPCOM_LIBS| from /browser/,Medium
"If you quickly close a tab whilst it's loading, in History > Recently Closed Tabs it can be titled 'Loading...'","If you quickly close a tab whilst it's loading, in History > Recently Closed Tabs it can be titled 'Loading...'",Medium
Middle click bookmarks folder in Library replaced current tab.,Middle click bookmarks folder in Library replaced current tab.,Medium
Use .trim() in search service,Use .trim() in search service,Medium
Tips & Tricks page content for Telugu [te] updation,Tips & Tricks page content for Telugu [te] updation,Medium
Remove unused WARN_APP_RUNNING_INSTALL string,Remove unused WARN_APP_RUNNING_INSTALL string,Low
nsSearchService.js stores document and element on its global object,nsSearchService.js stores document and element on its global object,Medium
"Add cy, oc to the Firefox build","Add cy, oc to the Firefox build",Medium
eliminate toolkit's mork-based history implementation,eliminate toolkit's mork-based history implementation,Medium
nsINavBookmarksService.idl comments need clarification for extension developers,nsINavBookmarksService.idl comments need clarification for extension developers,Medium
Top portion of browser chrome (containing close/minimize buttons) doesn't match theme--stays an orange-like color.,Top portion of browser chrome (containing close/minimize buttons) doesn't match theme--stays an orange-like color.,Medium
Undo and redo in the library are sometimes not correctly working,Undo and redo in the library are sometimes not correctly working,High
remove placesMigrationTasks from browser-places.js,remove placesMigrationTasks from browser-places.js,Medium
sessionstore.js stores contents of password fields in plaintext,sessionstore.js stores contents of password fields in plaintext,High
"Add more builds to fx 3.1, cy, gl, hi-IN, oc, si","Add more builds to fx 3.1, cy, gl, hi-IN, oc, si",Medium
"""mozilla-central leak test build"" machine has been reporting A:0 since 09/08 04:31","""mozilla-central leak test build"" machine has been reporting A:0 since 09/08 04:31",Medium
cvs remove toolkit/[locales/en-US]/installer/windows/install.it,cvs remove toolkit/[locales/en-US]/installer/windows/install.it,Medium
Page displayed as application/rss+xml even though delivered as text/plain,Page displayed as application/rss+xml even though delivered as text/plain,Medium
browser_bug410900.js minor nits,browser_bug410900.js minor nits,Low
"Clear Private Data should clear search bar, but doesn't","Clear Private Data should clear search bar, but doesn't",Medium
Update Bookmark Star Icon States,Update Bookmark Star Icon States,Medium
fix the TODO in the test for bug 346337,fix the TODO in the test for bug 346337,Low
menu items in bookmark bar context menu incorrectly disabled after reordering bookmarks,menu items in bookmark bar context menu incorrectly disabled after reordering bookmarks,Medium
Inactive items in the bookmark toolbar context menus after closing any tab,Inactive items in the bookmark toolbar context menus after closing any tab,High
Tab duplication (ctrl+drag) doesn't work on Linux,Tab duplication (ctrl+drag) doesn't work on Linux,Medium
"Open-Source, CVS version of FF forces me to access proprietry, non-Open-Source EULA","Open-Source, CVS version of FF forces me to access proprietry, non-Open-Source EULA",Medium
error message when clearing cookies,error message when clearing cookies,Low
Color mismatch between unified toolbar and selected tab after bug 439354,Color mismatch between unified toolbar and selected tab after bug 439354,Medium
[10.4] Download manager and page source window title bar too light,[10.4] Download manager and page source window title bar too light,Low
RoboForm extension causes Firefox 3.0.2 to crash.,RoboForm extension causes Firefox 3.0.2 to crash.,Critical
"(linux) offline mode (""work offline"") inappropriately enabled upon startup when NetworkManager is running but not controlling the active network interface","(linux) offline mode (""work offline"") inappropriately enabled upon startup when NetworkManager is running but not controlling the active network interface",Low
'sort by name' is disabled/greyed-out on folder after dragging item in/out of it,'sort by name' is disabled/greyed-out on folder after dragging item in/out of it,Medium
add mr and th to Firefox builds,add mr and th to Firefox builds,Medium
for views we could cache FlavourSet in PlacesUtils,for views we could cache FlavourSet in PlacesUtils,Medium
"""Tell me if the site I'm visiting is a suspected forgery"" should be reworded to reflect the fact that the page is now blocked entirely","""Tell me if the site I'm visiting is a suspected forgery"" should be reworded to reflect the fact that the page is now blocked entirely",Low
Tab duplication (Cmd+drag) doesn't work on Mac,Tab duplication (Cmd+drag) doesn't work on Mac,Medium
browser.js' onStateChange() code references variable that's no longer in scope.,browser.js' onStateChange() code references variable that's no longer in scope.,Medium
ctrl dragging bookmarks - releasing ctrl before releasing mouse button no longer removes copy function,ctrl dragging bookmarks - releasing ctrl before releasing mouse button no longer removes copy function,Medium
Dragging-and-dropping live bookmark item will duplicate it,Dragging-and-dropping live bookmark item will duplicate it,Medium
Non-null insertion point generated inside a livemark container,Non-null insertion point generated inside a livemark container,Medium
drag and drop of tag item onto bookmark toolbar/menu fails and throws exception,drag and drop of tag item onto bookmark toolbar/menu fails and throws exception,Medium
can't drag and drop from history to desktop,can't drag and drop from history to desktop,Medium
Can't drag a page into a bookmarks subfolder if it is at the bottom of the list.,Can't drag a page into a bookmarks subfolder if it is at the bottom of the list.,Low
"DragDrop Indicator broken in menupopup of folder on Bookmarks Toolbar  placed on toolbox,when restart Firefox.","DragDrop Indicator broken in menupopup of folder on Bookmarks Toolbar  placed on toolbox,when restart Firefox.",Medium
Changing RSS Handlers via Tools -> Options -> Applications leak,Changing RSS Handlers via Tools -> Options -> Applications leak,Medium
Change the url for eBay search plug-in for (en-US),Change the url for eBay search plug-in for (en-US),Medium
Textbox in Permissions dialog needs an accesskey,Textbox in Permissions dialog needs an accesskey,Medium
CSS rule not usable by extensions in General tab,CSS rule not usable by extensions in General tab,Medium
Random URL mess up with prefixed space character (www.http:.com//www..),Random URL mess up with prefixed space character (www.http:.com//www..),Medium
tabstrip background too dark when window in background,tabstrip background too dark when window in background,Medium
Can't drag a folder around on the bookmarks toolbar,Can't drag a folder around on the bookmarks toolbar,Medium
z-index ignored if element is inside overflow:hidden element.,z-index ignored if element is inside overflow:hidden element.,Medium
Closing last tab closes window instead of blanking it,Closing last tab closes window instead of blanking it,Medium
Location bar loses focus when last tab is closed (now by clicking close button),Location bar loses focus when last tab is closed (now by clicking close button),Medium
TabGroups not working/available for Firefox 3,TabGroups not working/available for Firefox 3,Medium
Chinese pera-kun addon not available/working for Firefox 3,Chinese pera-kun addon not available/working for Firefox 3,Medium
"Reword ""New pages should be opened in...""","Reword ""New pages should be opened in...""",Medium
firefox should allow dragging separators only to bookmarks menu and toolbar,firefox should allow dragging separators only to bookmarks menu and toolbar,Low
Can't move folders on bookmark toolbar,Can't move folders on bookmark toolbar,Medium
Livemark loading and failed to load messages should be static menuitems from menu.xml,Livemark loading and failed to load messages should be static menuitems from menu.xml,Medium
"""Live bookmark failed to load""  should not be editable.","""Live bookmark failed to load""  should not be editable.",Medium
"Clicking ""Live Bookmark loading..."" tries to load... something","Clicking ""Live Bookmark loading..."" tries to load... something",Medium
move urlbar functions to the urlbar binding,move urlbar functions to the urlbar binding,Medium
new tab button and tabstrip close button are squeezed on Linux,new tab button and tabstrip close button are squeezed on Linux,Low
Find toolbar (cntl-F) textbox won't take input after upgrd from 3.01 to 3.02,Find toolbar (cntl-F) textbox won't take input after upgrd from 3.01 to 3.02,Medium
back forward options missing,back forward options missing,Medium
drag and drop of bookmarks to folders (using Bookmarks Toolbar folder) where the dropdown folder has more entries than the screen can display not working...,drag and drop of bookmarks to folders (using Bookmarks Toolbar folder) where the dropdown folder has more entries than the screen can display not working...,Medium
"""New Tab"" Customizable Button Needs to Be Added Back","""New Tab"" Customizable Button Needs to Be Added Back",High
Could not start drag  in input tag and textarea tag,Could not start drag  in input tag and textarea tag,High
Customize toolbar only showing some of the icons,Customize toolbar only showing some of the icons,Medium
FeedConverter.js:  QueryInterface should throw NS_ERROR_NO_INTERFACE,FeedConverter.js:  QueryInterface should throw NS_ERROR_NO_INTERFACE,Medium
return the reopened tab from undoCloseTab (both the API and the browser.js method),return the reopened tab from undoCloseTab (both the API and the browser.js method),Medium
Session store should save/restore sessionStorage data (from DOMStorage),Session store should save/restore sessionStorage data (from DOMStorage),Medium
Null check missing in nsGNOMEShellService::GetShouldCheckDefaultBrowser  and SetShouldCheckDefaultBrowser and,Null check missing in nsGNOMEShellService::GetShouldCheckDefaultBrowser  and SetShouldCheckDefaultBrowser and,Medium
Short-circuit known-clean hosts in the urlclassifier,Short-circuit known-clean hosts in the urlclassifier,Medium
Close button on last open tab should be hidden or disabled,Close button on last open tab should be hidden or disabled,Medium
should be able to edit tags for multiple bookmarks at the same time,should be able to edit tags for multiple bookmarks at the same time,Medium
browser_autocomplete.js test doesn't clean up after itself,browser_autocomplete.js test doesn't clean up after itself,Medium
Bookmarks toolbar: left side of buttons' rounded edge is offset by 1 pixel with search box present,Bookmarks toolbar: left side of buttons' rounded edge is offset by 1 pixel with search box present,Low
Make JSON backup less error-prone (don't stop while saving data),Make JSON backup less error-prone (don't stop while saving data),Critical
"also restore non-standard input field types (such as type=""search"")","also restore non-standard input field types (such as type=""search"")",Medium
wyciwyg: uris show up in location bar,wyciwyg: uris show up in location bar,Medium
Tooltip's title/url is cut off,Tooltip's title/url is cut off,Medium
"""Reload Live Bookmark"" during ""Live Bookmark loading..."" causes duplicate ""Live Bookmark loading...""","""Reload Live Bookmark"" during ""Live Bookmark loading..."" causes duplicate ""Live Bookmark loading...""",Low
"Page Style (e.g. ""No Style"") does not persist across sessions","Page Style (e.g. ""No Style"") does not persist across sessions",Medium
Resource Directory Traversal Vulnerability,Resource Directory Traversal Vulnerability,Medium
Use the new D&D API in tabbrowser,Use the new D&D API in tabbrowser,Medium
"In the bookmarks organizer preview pane change ""more"" from a button to a progressive disclosure control","In the bookmarks organizer preview pane change ""more"" from a button to a progressive disclosure control",Medium
"Repeatedly requests for dynamically rendered but cached images, referenced by dynamically generated image elements","Repeatedly requests for dynamically rendered but cached images, referenced by dynamically generated image elements",Medium
Focus completely busted with Ctrl+Tab.,Focus completely busted with Ctrl+Tab.,Medium
AJAX doesn't work in Firefox 3 anymore,AJAX doesn't work in Firefox 3 anymore,High
Dragging a url to the tabbar loads it in multiple tabs,Dragging a url to the tabbar loads it in multiple tabs,Medium
Dropping a tab on Tabbar causes reload the page,Dropping a tab on Tabbar causes reload the page,Medium
Search Service is slow on startup (Ts hit),Search Service is slow on startup (Ts hit),Medium
shipped-locales update for Firefox 3.1 Beta 1,shipped-locales update for Firefox 3.1 Beta 1,Medium
"Spontaneous, frequent crashes in nsUrlClassifierDBService","Spontaneous, frequent crashes in nsUrlClassifierDBService",Medium
"Change name of Firefox 3.1 M3 to ""Firefox 3 Beta 1"" for official branding","Change name of Firefox 3.1 M3 to ""Firefox 3 Beta 1"" for official branding",Medium
Use CSS text-shadow for tabbrowser tabs on OS X,Use CSS text-shadow for tabbrowser tabs on OS X,Medium
Re-size control between location bar and search bar is misaligned on OS X,Re-size control between location bar and search bar is misaligned on OS X,Medium
Location bar should encode parentheses on copy,Location bar should encode parentheses on copy,Medium
"configure --disable-compile-environment busted on windows, atl etc","configure --disable-compile-environment busted on windows, atl etc",Medium
Remove Mac-specific tabbrowser-tab binding,Remove Mac-specific tabbrowser-tab binding,Medium
Session store should handle exceptions when manipulating sessionStorage,Session store should handle exceptions when manipulating sessionStorage,Medium
turn the Session Restore prompt into an error page,turn the Session Restore prompt into an error page,Medium
nsSessionStartup::state not cleared with history,nsSessionStartup::state not cleared with history,Medium
Feed tab missing in page info,Feed tab missing in page info,Medium
persistTabAttribute isn't a no-op when the attribute has already been registered,persistTabAttribute isn't a no-op when the attribute has already been registered,Medium
jar: URLs break sss_serializeSessionStorage (and thus SessionStore),jar: URLs break sss_serializeSessionStorage (and thus SessionStore),Medium
Session restore prompt dialogue box doesn't utilise keyboard accelerators,Session restore prompt dialogue box doesn't utilise keyboard accelerators,Low
